year,level_1,value
1960,Per Capita GNI,1334
1960,Per Capita GDP,1310
1961,Per Capita GNI,1401
1961,Per Capita GDP,1374
1962,Per Capita GNI,1473
1962,Per Capita GDP,1445
1963,Per Capita GNI,1602
1963,Per Capita GDP,1564
1964,Per Capita GNI,1533
1964,Per Capita GDP,1486
1965,Per Capita GNI,1631
1965,Per Capita GDP,1580
1966,Per Capita GNI,1789
1966,Per Capita GDP,1734
1967,Per Capita GNI,1965
1967,Per Capita GDP,1915
1968,Per Capita GNI,2211
1968,Per Capita GDP,2168
1969,Per Capita GNI,2528
1969,Per Capita GDP,2487
1970,Per Capita GNI,2860
1970,Per Capita GDP,2832
1971,Per Capita GNI,3273
1971,Per Capita GDP,3278
1972,Per Capita GNI,3845
1972,Per Capita GDP,3855
1973,Per Capita GNI,4635
1973,Per Capita GDP,4737
1974,Per Capita GNI,5592
1974,Per Capita GDP,5749
1975,Per Capita GNI,6122
1975,Per Capita GDP,6067
1976,Per Capita GNI,6506
1976,Per Capita GDP,6542
1977,Per Capita GNI,6951
1977,Per Capita GDP,7032
1978,Per Capita GNI,7772
1978,Per Capita GDP,7790
1979,Per Capita GNI,8835
1979,Per Capita GDP,8868
1980,Per Capita GNI,10165
1980,Per Capita GDP,10714
1981,Per Capita GNI,11291
1981,Per Capita GDP,11981
1982,Per Capita GNI,12189
1982,Per Capita GDP,12836
1983,Per Capita GNI,13793
1983,Per Capita GDP,14188
1984,Per Capita GNI,15166
1984,Per Capita GDP,15263
1985,Per Capita GNI,15045
1985,Per Capita GDP,14921
1986,Per Capita GNI,14951
1986,Per Capita GDP,14946
1987,Per Capita GNI,15969
1987,Per Capita GDP,16398
1988,Per Capita GNI,18493
1988,Per Capita GDP,18749
1989,Per Capita GNI,20762
1989,Per Capita GDP,20889
1990,Per Capita GNI,22907
1990,Per Capita GDP,23139
1991,Per Capita GNI,24679
1991,Per Capita GDP,25057
1992,Per Capita GNI,26314
1992,Per Capita GDP,26299
1993,Per Capita GNI,28949
1993,Per Capita GDP,29573
1994,Per Capita GNI,33002
1994,Per Capita GDP,32959
1995,Per Capita GNI,35601
1995,Per Capita GDP,35346
1996,Per Capita GNI,36765
1996,Per Capita GDP,37031
1997,Per Capita GNI,39946
1997,Per Capita GDP,39179
1998,Per Capita GNI,37064
1998,Per Capita GDP,36525
1999,Per Capita GNI,37362
1999,Per Capita GDP,36944
2000,Per Capita GNI,40767
2000,Per Capita GDP,41018
2001,Per Capita GNI,38255
2001,Per Capita GDP,38660
2002,Per Capita GNI,38319
2002,Per Capita GDP,39423
2003,Per Capita GNI,39646
2003,Per Capita GDP,41070
2004,Per Capita GNI,43058
2004,Per Capita GDP,46320
2005,Per Capita GNI,46428
2005,Per Capita GDP,49715
2006,Per Capita GNI,51460
2006,Per Capita GDP,53355
2007,Per Capita GNI,57249
2007,Per Capita GDP,59114
2008,Per Capita GNI,53666
2008,Per Capita GDP,56201
2009,Per Capita GNI,53511
2009,Per Capita GDP,56111
2010,Per Capita GNI,63137
2010,Per Capita GDP,63498
2011,Per Capita GNI,65087
2011,Per Capita GDP,66873
2012,Per Capita GNI,65521
2012,Per Capita GDP,68023
2013,Per Capita GNI,67798
2013,Per Capita GDP,70109
2014,Per Capita GNI,69551
2014,Per Capita GDP,71384
2015,Per Capita GNI,70450
2015,Per Capita GDP,73730
2016,Per Capita GNI,70828
2016,Per Capita GDP,73167
